gene	ensembl
RPL14	ENSG00000188846
RPL36AL	ENSG00000165502
RPL30	ENSG00000156482
RPL36	ENSG00000130255
RPL4	ENSG00000174444
RPS7	ENSG00000171863
RPL17	ENSG00000265681
RPL41	ENSG00000229117
RPL10L	ENSG00000165496
RPL13	ENSG00000167526
RPL27	ENSG00000131469
RPL26	ENSG00000161970
RPS11	ENSG00000142534
RPS29	ENSG00000213741
RIMKLB	ENSG00000166532
RPLP1	ENSG00000137818
DAP3	ENSG00000132676
RPL23	ENSG00000125691
RPL37	ENSG00000145592
RPS20	ENSG00000008988
RPL19	ENSG00000108298
RPL35	ENSG00000136942
RPS13	ENSG00000110700
RPS6KB2	ENSG00000175634
RPL18	ENSG00000063177
RPS17	ENSG00000182774
RPSA	ENSG00000168028
RPL10A	ENSG00000198755
FAU	ENSG00000149806
RPL34	ENSG00000109475
RPL7A	ENSG00000148303
RIOX1	ENSG00000170468
RPS25	ENSG00000118181
RPS3	ENSG00000149273
RPS4X	ENSG00000198034
RPS4Y1	ENSG00000129824
RPS5	ENSG00000083845
RPS12	ENSG00000112306
RPS27L	ENSG00000185088
RPL22	ENSG00000116251
RPL3	ENSG00000100316
RPL39	ENSG00000198918
RPL3L	ENSG00000140986
RPL6	ENSG00000089009
RPS14	ENSG00000164587
RPS28	ENSG00000233927
RPL21	ENSG00000122026
RPS16	ENSG00000105193
RPL11	ENSG00000142676
RPS10	ENSG00000124614
RPS18	ENSG00000231500
RPS15A	ENSG00000134419
RPS9	ENSG00000170889
RPS4Y2	ENSG00000280969
UBA52	ENSG00000221983
RPS6	ENSG00000137154
RPS6KB1	ENSG00000108443
RPL31	ENSG00000071082
RPL28	ENSG00000108107
RSL24D1	ENSG00000137876
RPL27A	ENSG00000166441
RPL9	ENSG00000163682
RPS6KL1	ENSG00000198208
RPL39L	ENSG00000163923
RPL29	ENSG00000162244
RPS21	ENSG00000171858
RPL37A	ENSG00000197756
RPS24	ENSG00000138326
RPS27	ENSG00000177954
RPL15	ENSG00000174748
RPS26	ENSG00000197728
RPL24	ENSG00000114391
RPL22L1	ENSG00000163584
RPS23	ENSG00000186468
RPS15	ENSG00000115268
RPL10	ENSG00000147403
RPL36A	ENSG00000241343
RPL23A	ENSG00000198242
RPLP0	ENSG00000089157
RPL26L1	ENSG00000037241
RPL18A	ENSG00000105640
RPL13A	ENSG00000142541
RPL7	ENSG00000147604
RPS3A	ENSG00000145425
RPL32	ENSG00000144713
RPL8	ENSG00000161016
RPL5	ENSG00000122406
RPS2	ENSG00000140988
RPL12	ENSG00000197958
RPS8	ENSG00000142937
RPL7L1	ENSG00000146223
RPS27A	ENSG00000143947
RPS19	ENSG00000105372
RPL35A	ENSG00000182899
RPS6KA5	ENSG00000100784
RIOX2	ENSG00000170854
RPS6KA3	ENSG00000177189
GADD45GIP1	ENSG00000179271
CHCHD1	ENSG00000172586
RPS6KA6	ENSG00000072133
RPS6KA2	ENSG00000071242
RPS6KA1	ENSG00000117676
RPS6KC1	ENSG00000136643
AURKAIP1	ENSG00000175756
RPS19BP1	ENSG00000187051
RSKR	ENSG00000167524
RPS6KA4	ENSG00000162302
RPL38	ENSG00000172809
RPLP2	ENSG00000177600
